cycle,t_fire_s,R0_ref_ohm,R_pre_ohm,R_pre_norm,R_peak_ohm,dR_peak_ohm,dR_peak_pct,R_end_ohm,R_end_norm,F_pre_N,dF_peak_N,t_F_peak_s,dF_end_N,dDisp_peak_um,dDisp_in_fire_um,dDisp_at_Fpeak_um
1,0,4.32346,nan,nan,5.16512,nan,19.4672,4.27601,0.989024,-0.0137685,0.0154678,0.740591,0.0135179,5.87132,3.56756,0.755124
2,3.31086,4.32346,4.33559,1.00281,4.74608,0.410488,9.77496,4.23248,0.978956,-0.00012997,0.0152882,0.137826,0.00803915,5.24523,3.28877,-0.297117
3,6.67311,4.32346,4.35568,1.00745,4.60611,0.250424,6.53751,4.34575,1.00516,0.00738175,0.0187178,0.178843,0.00559795,5.33903,3.22294,0.026345
4,10.3021,4.32346,4.42146,1.02267,4.60815,0.186695,6.58478,4.31672,0.99844,0.0111873,0.0192822,0.186566,0.00174067,5.4581,3.31642,0.0624115
5,13.62,4.32346,4.27347,0.988437,4.77995,0.506482,10.5584,4.28817,0.991837,0.0120069,0.0188447,0.131475,0.00262956,5.41025,3.3985,0.175876
6,16.9251,4.32346,4.32245,0.999767,5.01095,0.688496,15.9013,4.34304,1.00453,0.0137873,0.0192082,0.135188,0.00157442,5.3525,3.15987,-0.197516
7,20.3533,4.32346,4.2802,0.989995,4.27386,-0.0063397,-1.14715,4.1638,0.963071,0.0139213,0.136871,0.258724,0.0867906,5.42808,3.2412,1.74641
8,24.4641,4.32346,4.08705,0.945318,4.25185,0.164805,-1.6563,4.23718,0.980044,0.0889715,0.0306999,0.15784,-0.010197,5.5247,3.31337,0.0895134
9,27.6214,4.32346,4.28562,0.991247,4.43662,0.150999,2.61727,4.27794,0.98947,0.0778594,0.0293153,0.127772,-0.000834794,5.33632,3.458,-0.139381
10,31.3355,4.32346,4.2775,0.98937,4.75615,0.478649,10.008,4.20033,0.97152,0.0731358,0.0281836,0.169679,-0.000889316,5.22281,3.51626,0.0192736
